id,Manual code,comments
11,2,한걸레 다니는 직원 토크쇼들어보자 한걸레 다니는 혹시 직원있으면 토크쇼좀 해주셈
12,0,사장 임원진 전면 교체하고 디자이너 물갈이 해라 ...조준호 사장폰이라더니 G4보다도 안이쁜 폰이네
13,0,상수... ㅉㅉ 그러게 왜 큰집에 잘못보였누.. 민주당이 실수하긴 한거 같은데 이리 돼니 궁금해지네. 허위사실을 유포한 건가? 큰집에서? 아니면...진짠가 흠.. 아리송송하네
14,1,국민혈세 북에 송금 하여 한반도 핵위기 조성하고 미사일 개발시킨 개대중의 노벨평화상을 반납케하고 민족반역에대한 엄중한 죄과를 물어 이넘의 시신을 국립현충원에서 끌어내어 부관참시해야한다
15,0,500-1
16,0,유가족들을 이렇게 만든 가장 큰공은 야당과 전교조들이다.. 한길이 철수 영선아 책임져라..!!
17,1,저 악마년들 키운 가족들과 저년들 신상공개하라 !법을바꿔서 저년들 사형시켜라
18,0,요즘 폰팔이 장사 안될듯 시장이 얼면 다시 돌아가겠지
19,1,ㅉㅉ 애플 OOO 년들 아이폰쓰는나도 짜증나내
20,2,원조빨갱이 -- 남로당의 박정희 7.4공동성명. -- 박정희빨갱이 정책 -- 의료보험. 실업구제. 중소기업 보호. 의무교육. 골목상권 살리기. NLL -- 노태우때 남북기본합의서에서 해상경계선은 향후 협의하여 결정한다... 김영삼 정부-- NLL은 영토선이 아니다.남북 긴장으로 몰고가면서 본인과 자식들은 군면제나 편하고 안전한 보직 많은 건 보수우파 정치인들.
21,1,말로만 강화하지말고 사람목숨이 있는거다.제발 국개의원님들 정신차려서 의정활동 부탁.존대를 하도록 좀 해주시고.
22,1,저금리로 인한 가계부채증가..시바라장난치냐 초딩도아는 예측을 지금에서야 이유라고대는거야 한국은행총재라는시끼가?금번초소0.5%올려놔야 담에다시0.5%올릴거아냐멍충아
23,0,자꾸 청년실업이란 단어를 기사타이틀에 써서 강조하는것은 지극히 정치적인 의도로 보입니다. 기사내용을 사람들이 많이 안읽기 때문에 이런 수작을 하는거죠. 기사를 잘 읽어보세요. imf 이후 구조조정으로 일자리가 줄었고 거꾸로 대졸자는 증가했습니다. 즉 대학수 과잉 대학정원과잉이 청년실업의 가장 큰 이유고 두번째 이유는 imf이전과 비교하는 시각 때문입니다. 후자는 이미 사회경제구조가 되돌릴 수 없는 것이고 이것은 심지어 중국조차 겪고 있는 세계적 현상이지 한국만의 문제가 아닙니다. 전자는 대학을 강제로 없애야 해결됩니다. 정부탓 No
24,1,속초 안그래도 바가지에 싸가지 없더만 기고만장 하것네 ㅎ 특히 대게타운? 니기랄 쓰레기들
25,0,이 나라를 애국자분들이 헌신적으로 지켜왔는데 현재의 매국노들이 판을 치고 있으니 어찌하면 좋을까요
26,2,우리나라가 해외에 팔아먹을 수 있는게 뭐라보냐 소프트웨어 산업 특히 근 미래에 더 활성화될 온라인 게임이다. 쓸모도 없는 게이팝 밀어주지 말고 게임 산업 셧다운제 등 규제 완화 시키고 전폭적으로 지원해라
27,0,"동대문에서 충무로 세종호텔가는데 택시비로 4만원을줬다는데 뭔 말이 필요하겠냐...걸어가도 30분이면 떡을칠거리를 ㄷㄷㄷ종로,청계로,을지로,퇴계로로 구불구불 돌아갔단얘기지.. ㅋㅋㅋ"
28,2,쓰레기 불법체류자놈년들한테 노조설립까지 해준 우리나라법인데 그거면 말다한거지 범죄자들 도와주는 정신나간 우리나라법에 뭘 기대하겠냐 에휴~
29,0,찐쭝꿘아 점심은 먹었나? 고생한다.
30,1,아...OOO 그래도 쫌 믿어줬는데.....넌 정말 OOO이다.....대통령얼굴에 똥칠을해도 유분수지....에이OOO.....
31,1,저 시부렁 새키부터 가둬시불 국가보안법 개나줘버려 국제안보법을 어기는 저 망할놈들한테 국가보안법?이 매국노 같은 놈들아 말이되는 소리를해 북한추정 디도스공격그러면 북한에서 잡아서 가두디? OOO들 많네 정말 이나라가 망해가네 저런놈들때매 너는 앞으로 대선 근처까지 가지도 못할거다. 아무리 당이 그렇더라도 현실파악 정도능력은 되지않니?저게 죄니? 넌 그럼 북한 주민 돼봐 지금 그런말이 나오나.
32,1,주체성도없는 개한민국아 . 또 쇼하냐? 평화통일... ㅈ ㄹ 하지마라. 닭정귄아
33,0,달나라 로켓날아가는 세상에~눈앞에 빤히 보이는 일들을~과학발달~ 순서에 심각한 문제~그냥 한번에 배 끌어 올려서 끄집어 낼수있는 그런 기술이 달나라 로켓 날리는것보다 어려운건가~~
34,0,부여? 저기서 다람쥐랑 토끼잡아야되나?
35,1,문제는 미국 처럼 병원 못 가는 OOO 같은 경우가 생길까 겁남
36,0,뭐냐???토치로 태워버려!!!
37,2,나참 경찰 촬영하려고 밀치고 그거 페북에올려서 관심받으면 민주시민되는거냐? 경찰한테 복싱자세는 왜취하는데? 고딩들난투극만 벌여도 촬영은 커녕 쫄아서 슬금슬금피하는인간들이 경찰 무시하고 동영상찍어서 관심이나끌려하고 어린놈이 복싱배운티내면서 자세나잡고 이게 민주시민이냐고ㅉㅉ 기.레기도 답없다참 제목부터 작정을한거같구만
38,0,타통신 옮겨탄사람들은?????? 타통신 옮겨탄사람들은 그냥 그렇게 묻히는건가요? 형평성에 맞지않음....... 해줄려면 다 해주던가 아니면 그냥 계속 모르쇠 전략으로 나가던가 위약금 물고 할부금 물고 옮겨탄 사람들 구입할때 현금출고가 다 주고 구입한 사람들은 새된겁니까????
39,0,ㅋㅋ 문제 있으면 청문회서 벌떼같이 쪼아대서 하차하게 될텐데 뭘 이리 떠드나?오히려 청문회 열리면 깔 게 없으니까 청문회 시작 전에 하차시키려는 거지.별 걱정들을 다 한다.
40,1,설훈 씹덱끼
41,1,"우리나라 국정원은 그냥예전에 심형래 나오는 유머일번지 같다 . ""영구 없다......."" 하고 바로 대갈통 맞는거 이런집단이무슨 엘리트냐 ㅋ 개콘가서 꽃거지나해라 OOO들아"
42,2,저것들집구석에선 부인들은 남편이 성매매나 하고 종업원하고 잠이나 쳐자는거 모르것지? 시간도 11시도안되 나와서 집에갔으니 술이나 간단히 먹고 오는지알겠지 대한민국여자들 졸 불쌍하네~남편은 나가서 바람필구실이나찾고 기회만보면 바람피는데~ 맨날 보슬이라고 까대는 인터넷꼴마초 찌질남들아 반성해라 OOO들~ 여자만나옴 개때같이 달려와 악플다는수컷들이 이런기사엔 조용하네 별 그지같은것들 자지가 벼슬이냐? 저런것들 부인들도 죄다 똑같이 어린영계남하고 바람이나펴라ㅉㅉㅉ 저녁먹고 단란주점에 2차 술집에성매매해도 10시20분에 나오네 ㅋㅋ 집에가서 오해안받을라고 빨리빨리 다하네 이러니 전세계에서 젤불쌍한게 한국여자임..꼴마초 자슬들이 때문임
43,0,직업숨김 치료비 지원 하지마라
44,0,남조선은 까라면 까고 안되는것도 무조건 하면된다는 정신이 있는데..왜 너희들은 뭘 시키면 물이없다 전기가없다 비료가없다 인력이없다. 관리가 안된다 전문지식이 부족하다 왜그렇게 사사건건 토달고 안된다고 부터하나? OOO~!니 주딩에 들어가는데 왜 우리가 새빠지게 할필요가 있나?
45,1,제일 중요한게 핵을 안맞는게 중요한데...만약 이게 불시에 맞으면 고층빌딩과 아파트 그리고 지하에 거미줄처럼 설치된 도시가스망이 많은 서울은 쑥대밭되고 방사능 피폭이이 수도권에 도시에도 미쳐서 나라좆된다 ...피폭된 사람들은 몇년내에 암에 걸려죽고 유전자 변형으로 자식 손자 세대까지 기형아 출산한다 핵 한발로 줄수있는 피해가 상상을 초월한다 북한도 이걸 노리고 있다
46,1,무슨 멜로 찍냐? 범죄저지른것들을 무슨 메시아인양 처 울고 난리피질않나! 면회가는걸 무슨 멘로영화 화보찍냐구? 적당히 미쳐라
47,0,현재기온 영하10도..
48,0,미안하지만 톡 까놓고 이제 안철수가 기웃거릴 곳은 새누리당 밖에없다.....민주당이나 새누리당을 먹을 정도의 인물은 못됨 ㅋㅋ
49,1,젓 같은 것덜...국민 민생 은 아예 제껴두고 제벌 들 걱정만...재벌 걱정은 박통 하나 만으로도 차고 힘겹다...ㅠ.ㅠ
50,1,중국과 관련된 녀놈들이 위기의 한국을 분탕질하고 있다 박근혜 때도 한몫단단히 했지 진짜 진보 보수라면 이놈들부터 조져야 한다
51,1,분대장을 제외한 병상호간에는... 후임별님들 통제할 방법이없음... 바로 분대장을 제외한 병상호간에는 명령 지시 간섭을 할수없다임<---이 대목임 즉 분대장이 아닌이상 병장도 이병에게 원칙대로라면 명령 지시 간섭을 할수가없음 병영생활 행동강령 중 젤 x 같은 대목... 저대로 했다간 규칙대로하면 징계임 혈기넘치는20대들 모였는데... 구타도 안되 뭐라하면 다끄어버려 조금만 빈틈보이거나 약하다싶으면 짬시킴....인권때문에 계급자체가 무너짐.. 그래서 말년되면 그냥 터치 안함 .이게 현실임.. 구타는 물론 안되겠지만... 계급자체 유지할수 있는 장치도 마련해야함. 사고친넘 OOO이지만.... 차라리 위에서 갈굼당하면 참지만 밑에서 치고 올라오면 자존심쎈놈이라면 미칠수도 있음
52,1,오마니... 가족... 씨팔롬들아 감성팔이하지마라평소엔 부모님 속만썪이던놈들이ㅋㅋ 난 어려서부터 부모님없었다 씨팔롬들아 가족 이야기하지마라
53,1,집구석 자체가 하자네 ㅈ망해라 시밤
54,2,"바퀴벌레 좀비충 개돼지 레밍들아,----------------툭하면, 친일파 뉴라이트하며, 개거품 물며, 지이라알 바아알광을 하는데----------- 어떡하냐?----------니들이 열심히 빠는 놈도 일제시대 친일부역질한 놈의 자식인데,-------------친일파 후손 똥꼬 열심히 빠는게 쪽팔리지도 않냐? --------설마, 독립투사 후손으로 착각하고,[ 아님 알면서도]똥꼬 빠는겨?------니들 대갈통은 장식용이냐? 그래서 니들이 개돼지인거야------구역질 날 정도로 존나리 혼자 깨끗한척 하기는 아유 재수없어"
55,0,걍 얼굴 까지 가해자한테 뭔 인권이 있나
56,0,너는 말이지...피양새나 안뽑아 주면...고맙겠어. 어데서 5대원칙이여?
57,0,저런거 80k로 고정 시켜 논거 아닌가?
58,0,같은 남자로서 부끄럽네유 대중들많은데선..가급적 그것두 금연구역에서... 대한민국 현실입니다 서로간에 몸싸움 실랑이 쌍방이라는...
59,1,하여간 1번이고 2번이고 사람안보고 번호보고 찍는 인간들 때문에 대한민국이 망한다..새누리건 새민련이건 사람보고 찍어야하는데 그놈의 우리가 남이가 주의...당신들이 OOO같은건 이해도 안가지?
60,1,사진보니 ㅈㄴ빡치네 ㅅㅂ
61,1,갑순이가 갑돌이[죄인]부인 갱숙이 말들엇나 보기싫응께 빨리 특검이나하자 정치 차 ㅇㄴ ㅣ 에 부동산 투자라 국회세비에 나전칠기 이익에 부동산차익 쓰리잡하네 쐐레기같은 인간이구먼 ~~~
62,1,빙신들. 그걸 8년 동안이나 모르고 있었냐? ㅉㅉ
63,0,자살시켜놓고 확인하러가네.. 와 지옥갈놈
64,0,국내는?????
65,0,나는이제 가졋으니까 딴놈들은 갖을생각 하지들말어라.
66,0,이명박은 거의 4년동안 놀았냐? 나원참 경상도 또라이들의..제정신은 언제 돌아오는가... 잘한것도 노무현탓.. 못한것도 노무현탓.. 도데체 이명박은 거의 4년을 채우는 동안.. 결국 전봇대 하나뽑고..4대강 한거 빼고는 아무것도 안했냐? 가계부체가..3년동안 200조가 넘을 정도로 규모가 커졌는데.. 국가 파산이나..극도의 경기불항에 처한 국가가 아니고선 아마 내생각에는.. 세계적으로도 이렇게 빠른 속도로 증가되는 경우도 드물걸.. 그런데도.. 아직까지도 노무현탓이야? 결국 이명박은 존재감 자체가 없다는 말이지..
67,2,아니 이해가 안되는게 가산점 안받고 2년동안 공부하는게 유리하냐 2년동안 공부못하고 쥐꼬리만한 가산점 받는게 유리하냐.... 2년 이랑 2점 둘중에 하나 골라봐 이미친 욕나오네......... 진짜 왜 이걸로 불평등이니 소리가 나오는지 모르겠네... 아 대한민국 남자들은 멍청해서 이렇게 불평해주면 대한민국 남자들이 큰거 받는줄 알고 이정도만하고 넘어가겠지 해서 그런거냐? 우리 남자들 왤케 속이좁냐 더크게 바라자
68,1,국민여러분 앞으로 국개 보다는 국회의원을 뽑을 것을 요구합니다. 국민여러분의 잘못된 선택은 4년뒤 당신들의 재산뿐 아니라 자식들까지도 되돌릴 수 없는 피해를 볼 수 있습니다. 주둥이가 아닌 각 분야의 전문가를 쫌 뽑읍시다.
69,0,김재원 또 가서 굽신굽신 형님 오해가 있었습니다 제가 그런 게 아닙니다요 이러는 거 아니냐? ㅎㅎㅎ
70,0,이거쓴 기자는 ...좀 이상한듯...내시닝각각에도 이건 당연 찬성인데..
71,0,ㅋㅋ직원들이 대놓고 보여주내 가능성 없다라고..많은사람들이 잭팟이라고 역사상 역대급 돈이 몰려 이슈화되더니 결국 거품이었다라고 직원들이 대놓고 보여주는 케이스내 ㅋ투자한 개인들은 완전새되내
72,0,농약 사이다 할매들도 한마을 이웃인뎅 ㅋ 서울이라서 문제가 아닌거 같은뎅 ㅋ
73,1,병.... ㅡ신 후진국 하여튼 자연훼손 시키는덴 1등
74,0,댓글 잘못 달면 소송 당해요. 어디서 소송할까요. 빽이 있어야지. 나한테도 소송한다고 문자가ㅡ
75,0,뭘 잘못했는지 모르는 더라 념들.....
76,1,취업이머죠? 오포세대는 요새사는거는 8포세대는 되는거같은데 핵대중 OOO넘이 대학수드럽게늘려서 이꼴낫네
77,1,확실히 근본없는 개아들놈시키네....이것도 언론의 표현이다....알지? 개아들놈아
78,0,의사들이 언제쯤 환자의 안위와 생명만을 위한 의사가 될려나?
79,1,OOO 어떻게 ㅠㅠ
80,0,경상도 친일파 전라도 종북빨갱이라 욕하는 멍청한 놈들.... 꼭 한 지역을 악질적인 사회 암으로 낙인 찍고 서로 비난해야하나...
81,1,앱등이들 하여간 알아줘야해~ 안드로쓰면 거지라고? 멍청이들이 아이폰 단점중하나가 가격인데 이젠 가격까지 장점으로 만드려고하네ㅋㅋ 니들은 비싼돈내고 쥐똥만한 액정박힌 폰 써라~ 난 공짜로 5인치짜리 쓸테니깐ㅋㅋ
82,1,낙태법까지멀리갈것도없고! 애비놈들 욕할것도없네! 여자가 능력이안되면 피임을 잘했어야지! 루프도있고 피임약도있고 남자들같이 정관수술처럼하는 방법도있는데! 자식죽인ㄴ이 멍청하고 죽일년이지 누구를탓을해!
83,1,솔직히 진상부리는 새퀴들도많자나 찌질이라고 쓴거는 잘못했지만 진상부리는넘들도 콩밥좀 먹게할수없나? 꼴보기 싫어
84,1,갤노트사면.. OOO취급당함.. 저큰걸 귀에대고 전화한다고 생각해보세요.. 왜 OOO취급당하는지 이해하실겁니다.
85,0,시연을 해봐 사람들 모아놓고 다시한번 재현해봐야 믿을것 같다..
86,1,개검들 뻥튀기 조작질 어디 하루이틀이냐...ㅋㅋ 없는것도 많들어 내는 애들인데 ... 하기사 밤마다 차앙녀 구멍이나 할는 애들눈에 뭐가 보이겠냐 ... 설마 사회정의가 보이겠냐...? ㅋㅋ
87,1,ㅁㅊ ㅋㅋㅋ 무슨 문씨가 잘해서 체감 오르는 것처럼 댓들 써재끼넼ㅋㅋ 삼성이랑 현대가 멱살잡고 끌고가는거 안보이냐 ㅋㅋ 그래봤자 현차 공채 올해 없앴지?? ㅋㅋ OOO들. 현 정권 지지하는 인간들이 가장 빡대가리 개돼지임에 틀림이 없음.
88,0,부부사이를 갈라놓고 여자에게 평생 짐을 지우게 하는 유교사상!!! 이생에 돌아올수 없는 죽은 사람의 혼을 위해서 없는 돈 털어 제사음식 장만 하는 어리석은 제사 추종자들!!
89,1,입증자료가있어야 처분할수있다. ㅈ같네 아욕나와. 유치원교사고원장이고모두처벌해
90,1,그래도 영국 정치인은 책임이라도 지네. 한국은 아무도 책임 안지고 지 입으로 직접 정치권에서 물러나겠다고 한 X죄인새끼도 뽈뽈 당당히 기어나오는데
91,1,우리나라 문화재면 니뽕계셰끼들부터 훔쳐간 노무셰끼 먼져 밝히고 우리가 가지고 있어야 되는거 아니야? 먼가 거꾸로 돼가고 있잖아 머저리들아 등~신들
92,0,지가전업주부를해봐야 저딴소리가안나오지.세상에 어디에서도 애들을 돌보는것에대해 &#39불필요한보육&#39 이라는말은하면안되지. 복지부장관아저씨야 보육에 불필요라는건없다.
93,2,사진 잘 나왔내 ㅎㅎ ? 왜 싫타하지 이사진을 짜증 나는 일박에 업는 요즘 한번 웃자고 한것 아닌감 ?그런대 갱상민국에서 갱상도쪽 대통령을 풍자 했으니 또 개때처럼 난리 치것구만 갱상민국 사람들 남이 와와 하니 뜻도 모르고 같이 와와하고 소리치는 전국구에 무식칸 또라이들하구
94,1,아엠에프때 불상하게 죽은 사람들 생각 안하나 뭔 세월호 서민들 죽어 나는데 노조 정치나 좃 하소
95,1,권리금 ㅋㅋ그게 현대판 한강물 장사를 허용해주는 미친 법원 ㅋㅋ 지들이 뭘 판결하는지도 모를꺼다 ㅎㅎ 법치국가 맞냐
96,1,검사라는게 니딸 련 이 당해봐야지 그런 아가리 터르는 개 소 리 안하지
97,1,공무원들 개혁해야된다쓰래기 필요없는것들이 너무많아국민등골 빼먹는 OOO들좀 짜르고 없애라
98,0,갓난아이가 마시는 중요한 물이라고 광고하는 회사 수준
99,1,"역사에 영원히 기억될 인물이다. ""사실이 아닙니다."" ""모릅니다."" 너의 눈에 국민들은 안보이냐? 너와 김기춘이 있었기에 국정농단이 발생했다는 걸 전국민이 알고 있는데 이제는 국민들을 농단하고 있네. 더럽고 비열한 놈!"
100,1,저 기사가 만우절 거짓말 같은데?똘아이들이 얼마나 많은데 장난전화가 없겠어?
101,1,이런 신발놈이 정치를 하니까 일본은 독일을 넘지 못하는거지 EU의 리더국가 독일을 봐라~ 아시아의 전범국가면서 반성도 없는 섬나라 초파리들아 바닷속으로 가라앉기를 진심으로 바란다. 그땐 한국으로 일본 초파리 난민들이 오겠지?
102,1,이런!!!OOO!! 너도 광화문 앞에서 그렇게 좀 맞자!!!
103,1,"방사능 국내여론 딴대로 돌리려 이 OOO들 지들이 원자력 발전소 잘못 판단해서 이렇게 방사능 공포에 휩싸이니까 국내여론을 어떻게든 좀 다른곳으로 돌려보려고 OOO 발광을 하는구나 이건 우리 정부에도 일부 문제가 있다, 얼마나 안일하게 보이고 독도문제에 대해 양보를 했으면 이런 용도로 독도를 활용하게 만드냐"
104,1,"큰 촛불 멀지않았다 이게 나라냐? 남이하면 죽이고,내가하면 공정 끼리끼리 다해먹고,국민세금 막 쓰라고 추운날 촛불 든줄아냐? 양초회사 또 대박나겠네 @@@@@개~새/끼/들"
105,1,내세금으로 저런 짐승들한테 밥먹인다는게 미치도록화가난다.한번이든 아니든 아동폭행이 결국 사망에 이르른 이유아니닌가..남인내가봐도 가슴에서불이올라오는데 ... 어린아이가 당한 공포두려움고통을 느낄수있어서 그만큼 벌줬으면 좋겠다 그러면 저런 상해치사가아니라 사지를 찢어죽여도 시원찮을텐데...
106,0,그냥 나오는데로 기르는걸 딸이 좋다고 말할수 있는건가.
107,0,의미없다
108,1,이미 퇴임도 확정된 씹퇴물이 우리나라 1위 언론사에 고소 한다 OO ㅋㅋ허공에 좃질 그만하고 아빠노릇이나 해
109,1,미친
110,0,역시 비버ㅋㅋㅋ빌보드 일위 정말정말 축하해요:]BIEBER FEVER IS EVERY WHERE
111,0,1M 지렁이는 원래 있는 종류 동영상은 2005년도꺼 메기는 진짜 그렇다쳐도 지렁이는 불안감조성하려고 한짓임?
112,1,엽충이들 &#34세계 판매1위 삼성&#34 마진은 똥인줄 모르고 불쌍함
113,0,애를 가지면 안되겠다 . 이건뭐 영화보다 더 심각. 인간이 멸망할수 있겠구만
114,1,정부당국자들 명심하세요! 일본쪽빠리들 도와주면 안됩니다! 우리민족의 주적이자! 우리를 능욕했던 놈들입니다! 그들은 자기들이 자신 있다고 했으니 그냥 내버려둡시다! 인도주의 정신은 저놈들한테는 적용이 안되는 졸렬한 족속입니다! 우리 등에 칼로 배신할 족속입니다! 지원 어쩌구 저쩌구하면 대통령 선거때 심판할겁니다! 절대 안됩니다! 죽게 내버려두세요! 그리고 일뽄 OOO아! 니네들 존심있으면 우리한테 손 내밀지마! 그냥 뒤져라! 원숭이OOO아!
115,0,방산비리만 없어도 항공모함 몇대는 만들었겠다.강력하게 처벌하자.북한 애들은 중국과 이간질이 주 목표인가
116,0,이명박이 막판에 오점 하나 남기네.. 이건 아니지.
117,0,"TV토론은 대통령후보가 자신을 어필하기 위해 나오는 자리이지 다른 후보를 깎아내리기 위한 자리가 아닙니다. 이정희 후보 정말 이런 생각을 가지고 있다면, 절대 나오게 해서는 안됩니다. 다시 또 토론의 질을 떨어뜨리고, 후보들에 대한 제대로 된 판단을 못하게 하고, 국민을 우롱하는 꼴을 보고 싶지 않네요."
118,2,"전교조들 모아놓고 폭탄한방 쏴버려라~ "" 전교조 모임중 원인모를 폭발로 전원사망 "" 이런뉴스 보고싶다"
119,2,요즘젊은맘충뇬들 대가뤼에똥만찬뇬들이 쨩께짖거리하는거보면 차암 기도안찬다 ㅎ 정신들 챙겨이뇬들아 니색히도 개쑤레기로크는거여 ㅎ 몬난뇬들 ㅉ ㅉ
120,0,장난하냐 그러면 학원마치고 10시에 오는 애들은 어쩌라는거냐
121,1,와우 굿이네 원숭이 색히...졸라 웃기네 지금 이명박 대통령이 서울시장 출마했냐? ㅋㅋ
122,1,애 낳으라고 말하지마라... 이 미친것들아...
123,1,저런 똥개샼ㅋ키는 어떻게 사살해야 하나...?
124,0,몇년전에 뉴스로 LNG화물창 국산화 했다고 했던거 같은데..- 박근혜정권때! 그거 가짜뉴스였어???
125,1,코에걸면코걸이 귀에걸면귀걸이 =닭근혜정부윗대가리놈들ㅋㅋ
126,1,"참 답답하다.. 개같은 새상이다 진짜.. 애들은 보나마나 빨간불엔 건너면 안되는거라 생각하고 횡단보도에서서 파란불로 바뀌길 기다렸다가 파란불이 들어온걸 보고 횡단보도를 건너려 햇을거야.,. 어떤 개같은 것들이 아이들에게 파란불에 횡단보도를 건너라고 가르쳤냐.. 어떤 개같은 자식이 어린아이도 조심하여 지키려던것을 자만하여 어린생명을 앗아가게 만드냐.. 개같은 사회다.."
127,1,외교관 집단이 지금은 깡패집단인가보네.. 잘못하면 무릎꿇고 손발가락귀팔다리 자르고 장기도 적출하나 보네... 국민세금으로 잘 하는것거리다.
128,1,"부모학력이낮을수록???OOO삽질에.....한대때리고싶다..어떠한경우던 퍼센테이지로 나누다보면,한쪽으약간이든,많이든 치우치게마련인데...사회생활에서민감할수있는부모님얘기.....콱그냥~~"
129,2,대깨문들은 왜캐 여자가 많냐 ㅋㅋㅋ 아직도 조국 빨아재끼는거보면 걍 문재인 얼굴보고 지지한거마냥 조국도 얼굴보고 좋아하는거같은데 그냥 가서한번 대주든가 ㅅㅂ
130,0,"형집행정지가 검찰에서 결정할 수 있는 상황일까? 작금의 나라 현실에서... 모질대로 모진 이 정권! 언젠가는 그들이 심은대로 받겠지만, 현실은 암담하고 가슴아픈 현실을 국민들은 마음에 새겨야 할 것이라 본다."
131,2,"유럽 공항에서 일하는 무슬림, 중국인들이 심심하면 승객 수하물 터는게 취미인거 상식이죠"
132,0,범죄자 임병장 증언을 복사하는 공영방송 이라니..참 한심한 KBS~!!..곧 희생군인이 가해자 되겠네ㅉㅉ
133,1,이 양반아!!야~언제부터 우리나라가 내가 싫다!좋다!라고 입 밖으로 소리 낼수 있는 그런 곳이었나?그럼 너 왜 이딴 x쓰레기 소리 하는데. . ?너도 약자니까!!그렇게 소신 있는 사람이 누구 사주 받고 이딴 소리 하냐!!
134,0,뭐라고 '보' 가 들어가면 여성혐오였어? 보리차 보자기 보성루 이거 다 여성혐오임
135,0,어쩌라고요 개는 반려동물인데요? 개를 괴롭히느니 사람이 괴로운게 훨씬 낫지요 개가 우선입니다 야만인들아
136,1,뻔뻔해도 처벌근거는 없다. 그게 x같은 현실이긴 하지만 저런경우 원인제공 흰차량은 단순 찐따일뿐 잘못은없다. 일단 버스는 안전거리 미확보로 뒤에서 받았으니 버스 과실로 나올테지. OOO
137,0,뭐이런십진핑이
138,1,"아새기가 오죽 별나면 쳐 맞아겠나, 아새기들 오냐오냐 키우면 버릇이 후장된다. 아새기가 세상 무서운 줄 모르고 설치면 존나게 패는 게 약이다"
139,2,트럼프가 한국방문했을때 좌빨들이 트럼프욕하고 미군철수해라고 데모를 하니 트럼프가 열받아 이런나라 지켜주면 뭐하나고 생각했네. 한국에 앞날이걱정스럽다. 북위협뿐만 아니라 경제도 개판나겠네
140,1,아직도갈길이바쁘다쥐박이 최순실교과서 우병우 김기춘 이것들친일파후예들은 무슨짓을벌일지모른다 벌써내각제바람몰이하고있다 자자손손권력나눠먹자고OOO들이다 정신바짝차려야지 하면서스스로를격려하자..
